date,origin,destination,vessel_type,vessel_variant,estimated_charter_rate_usd_day,one_way_voyage_days,one_way_bunker_cost_usd,one_way_cost_usd_mt,commercial_voyage_days,commercial_bunker_cost_usd,estimated_spot_freight_usd_mt,estimated_freight_rate_usd_mt,estimated_freight_rate_inr_mt,calibration_status,methodology,data_type
2023-01-03,KALIMANTAN_ID,DHAMRA,HANDYSIZE,Standard,9000.0,9.79,104207.81,7.57,19.45,182053.94,13.5,13.5,1118.88,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,DHAMRA,PANAMAX,Kamsarmax,15000.0,9.49,169598.82,5.35,18.89,295712.34,9.47,9.47,784.59,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,DHAMRA,PANAMAX,Standard,14000.0,9.49,159882.48,5.61,18.89,278975.94,9.91,9.91,820.87,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,DHAMRA,SUPRAMAX,Standard,12000.0,9.49,130101.88,6.28,18.89,227167.66,11.18,11.18,926.17,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,GANGAVARAM,HANDYSIZE,Standard,9000.0,9.58,99168.75,7.36,18.89,173131.44,13.07,13.07,1082.67,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,GANGAVARAM,PANAMAX,Kamsarmax,15000.0,9.3,161283.08,5.2,18.36,281048.67,9.17,9.17,760.21,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,GANGAVARAM,PANAMAX,Standard,14000.0,9.3,152083.56,5.46,18.36,265202.5,9.6,9.6,795.74,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,GANGAVARAM,SUPRAMAX,Standard,12000.0,9.3,123786.25,6.11,18.36,215997.73,10.83,10.83,897.07,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,GOPALPUR,HANDYSIZE,Standard,9000.0,10.64,102944.69,7.77,20.1,178616.09,13.58,13.58,1125.16,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,GOPALPUR,PANAMAX,Standard,14000.0,10.35,157697.33,5.75,19.56,273445.06,9.96,9.96,825.4,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,GOPALPUR,SUPRAMAX,Standard,12000.0,10.35,128435.62,6.45,19.56,222783.0,11.25,11.25,932.2,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,PARADIP,HANDYSIZE,Standard,9000.0,10.42,104285.75,7.75,20.01,181355.19,13.64,13.64,1130.14,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,PARADIP,PANAMAX,Kamsarmax,15000.0,10.13,169455.72,5.47,19.46,294299.66,9.56,9.56,792.22,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,PARADIP,PANAMAX,Standard,14000.0,10.13,159842.74,5.74,19.46,277741.3,10.0,10.0,828.8,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,PARADIP,SUPRAMAX,Standard,12000.0,10.13,130141.65,6.43,19.46,226236.57,11.29,11.29,935.9,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,SANDHEADS,HANDYSIZE,Standard,9000.0,11.93,108790.0,8.32,21.68,187568.15,14.3,14.3,1185.05,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
