date,origin,destination,vessel_type,vessel_variant,freight_rate_usd_mt,bdi,bdi_lag_1,bdi_lag_7,bdi_rolling_mean_7,bdi_rolling_std_7,bdi_rolling_mean_30,bunker_vlsfo,bunker_vlsfo_lag_1,bunker_change_pct_7d,usd_inr,usd_inr_lag_1,usd_inr_change_pct_7d,day_of_week,month,bdi_momentum_14d,bunker_bdi_ratio
2023-01-03,KALIMANTAN_ID,DHAMRA,HANDYSIZE,Standard,13.5,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,DHAMRA,PANAMAX,Kamsarmax,9.47,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,DHAMRA,PANAMAX,Standard,9.91,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,DHAMRA,SUPRAMAX,Standard,11.18,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,GANGAVARAM,HANDYSIZE,Standard,13.07,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,GANGAVARAM,PANAMAX,Kamsarmax,9.17,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,GANGAVARAM,PANAMAX,Standard,9.6,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,GANGAVARAM,SUPRAMAX,Standard,10.83,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,GOPALPUR,HANDYSIZE,Standard,13.58,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,GOPALPUR,PANAMAX,Standard,9.96,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,GOPALPUR,SUPRAMAX,Standard,11.25,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,PARADIP,HANDYSIZE,Standard,13.64,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,PARADIP,PANAMAX,Kamsarmax,9.56,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,PARADIP,PANAMAX,Standard,10.0,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,PARADIP,SUPRAMAX,Standard,11.29,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,SANDHEADS,HANDYSIZE,Standard,14.3,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,SANDHEADS,PANAMAX,Kamsarmax,10.01,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,SANDHEADS,PANAMAX,Standard,10.47,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,SANDHEADS,SUPRAMAX,Standard,11.84,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,VIZAG,HANDYSIZE,Standard,13.47,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,VIZAG,PANAMAX,Kamsarmax,9.45,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,VIZAG,PANAMAX,Standard,9.89,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,KALIMANTAN_ID,VIZAG,SUPRAMAX,Standard,11.17,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,MAPUTO_MZ,PARADIP,HANDYSIZE,Standard,19.21,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,MAPUTO_MZ,PARADIP,PANAMAX,Kamsarmax,13.31,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,MAPUTO_MZ,PARADIP,PANAMAX,Standard,13.87,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,MAPUTO_MZ,PARADIP,SUPRAMAX,Standard,15.8,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,MAPUTO_MZ,VIZAG,HANDYSIZE,Standard,18.63,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,MAPUTO_MZ,VIZAG,PANAMAX,Kamsarmax,12.92,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,MAPUTO_MZ,VIZAG,PANAMAX,Standard,13.47,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,MAPUTO_MZ,VIZAG,SUPRAMAX,Standard,15.34,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,NEWCASTLE_AU,DHAMRA,HANDYSIZE,Standard,25.97,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,NEWCASTLE_AU,DHAMRA,PANAMAX,Kamsarmax,17.87,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,NEWCASTLE_AU,DHAMRA,PANAMAX,Standard,18.57,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,NEWCASTLE_AU,DHAMRA,SUPRAMAX,Standard,21.26,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,NEWCASTLE_AU,GANGAVARAM,HANDYSIZE,Standard,25.72,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,NEWCASTLE_AU,GANGAVARAM,PANAMAX,Kamsarmax,17.7,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,NEWCASTLE_AU,GANGAVARAM,PANAMAX,Standard,18.4,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,NEWCASTLE_AU,GANGAVARAM,SUPRAMAX,Standard,21.06,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,NEWCASTLE_AU,GOPALPUR,HANDYSIZE,Standard,26.13,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,NEWCASTLE_AU,GOPALPUR,PANAMAX,Standard,18.68,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,NEWCASTLE_AU,GOPALPUR,SUPRAMAX,Standard,21.4,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,NEWCASTLE_AU,PARADIP,HANDYSIZE,Standard,26.09,,,,,,,645.0,,,82.86,,,1,1,,
2023-01-03,NEWCASTLE_AU,PARADIP,PANAMAX,Kamsarmax,17.95,,,,,,,645.0,,,82.86,,,1,1,,
