date,origin,destination,vessel_type,estimated_charter_rate_usd_day,one_way_voyage_days,one_way_bunker_cost_usd,one_way_cost_usd_mt,commercial_voyage_days,commercial_bunker_cost_usd,estimated_spot_freight_usd_mt,estimated_freight_rate_usd_mt,estimated_freight_rate_inr_mt,calibration_status,methodology,data_type
2023-01-03,KALIMANTAN_ID,HALDIA,PANAMAX,14000.0,11.22,168210.51,6.08,20.83,290888.68,10.46,10.46,867.06,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,PARADIP,CAPESIZE,22000.0,10.13,248083.87,3.65,19.46,430425.83,6.37,6.37,528.13,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,PARADIP,PANAMAX,14000.0,10.13,159842.74,5.74,19.46,277741.3,10.0,10.0,828.8,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,VIZAG,CAPESIZE,22000.0,10.51,239806.9,3.65,19.58,414680.71,6.3,6.3,521.7,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,VIZAG,PANAMAX,14000.0,10.51,154829.24,5.74,19.58,267948.18,9.89,9.89,819.15,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,HALDIA,PANAMAX,14000.0,21.08,371633.59,10.95,39.06,641284.93,19.12,19.12,1583.99,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,PARADIP,CAPESIZE,22000.0,19.98,565932.43,6.8,37.69,977919.97,11.95,11.95,990.5,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,PARADIP,PANAMAX,14000.0,19.98,363265.82,10.61,37.69,628137.55,18.65,18.65,1545.73,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,VIZAG,CAPESIZE,22000.0,20.53,562823.72,6.85,38.11,971077.2,11.97,11.97,991.59,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,VIZAG,PANAMAX,14000.0,20.53,361560.01,10.7,38.11,624041.93,18.68,18.68,1547.73,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,HALDIA,PANAMAX,14333.15,11.22,164689.83,6.08,20.83,284800.32,10.48,10.48,866.6,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,PARADIP,CAPESIZE,22523.52,10.13,242891.42,3.65,19.46,421416.92,6.38,6.38,527.81,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,PARADIP,PANAMAX,14333.15,10.13,156497.2,5.74,19.46,271928.11,10.01,10.01,828.2,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,VIZAG,CAPESIZE,22523.52,10.51,234787.68,3.66,19.58,406001.35,6.31,6.31,521.58,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,VIZAG,PANAMAX,14333.15,10.51,151588.63,5.75,19.58,262339.97,9.9,9.9,818.84,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,NEWCASTLE_AU,HALDIA,PANAMAX,14333.15,21.08,363855.21,10.94,39.06,627862.69,19.11,19.11,1580.83,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,NEWCASTLE_AU,PARADIP,CAPESIZE,22523.52,19.98,554087.33,6.79,37.69,957451.88,11.95,11.95,988.47,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,NEWCASTLE_AU,PARADIP,PANAMAX,14333.15,19.98,355662.58,10.6,37.69,614990.48,18.65,18.65,1542.43,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,NEWCASTLE_AU,VIZAG,CAPESIZE,22523.52,20.53,551043.69,6.84,38.11,950752.33,11.96,11.96,989.73,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,NEWCASTLE_AU,VIZAG,PANAMAX,14333.15,20.53,353992.48,10.69,38.11,610980.59,18.67,18.67,1544.68,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-05,KALIMANTAN_ID,HALDIA,PANAMAX,14393.51,11.22,162864.29,6.06,20.83,281643.39,10.45,10.45,862.79,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-05,KALIMANTAN_ID,PARADIP,CAPESIZE,22618.38,10.13,240199.03,3.64,19.46,416745.63,6.36,6.36,525.48,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-05,KALIMANTAN_ID,PARADIP,PANAMAX,14393.51,10.13,154762.47,5.72,19.46,268913.86,9.99,9.99,824.52,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
