date,origin,destination,vessel_type,freight_rate_usd_mt,bdi,bdi_lag_1,bdi_lag_7,bdi_rolling_mean_7,bdi_rolling_std_7,bdi_rolling_mean_30,bunker_vlsfo,bunker_vlsfo_lag_1,bunker_change_pct_7d,usd_inr,usd_inr_lag_1,usd_inr_change_pct_7d,bdi_momentum_14d,bunker_bdi_ratio,day_of_week,month
2023-01-03,KALIMANTAN_ID,HALDIA,PANAMAX,10.46,,,,,,,645.0,647.0,,82.86,,,,,1,1
2023-01-03,KALIMANTAN_ID,PARADIP,CAPESIZE,6.37,,,,,,,645.0,647.0,,82.86,,,,,1,1
2023-01-03,KALIMANTAN_ID,PARADIP,PANAMAX,10.0,,,,,,,645.0,647.0,,82.86,,,,,1,1
2023-01-03,KALIMANTAN_ID,VIZAG,CAPESIZE,6.3,,,,,,,645.0,647.0,,82.86,,,,,1,1
2023-01-03,KALIMANTAN_ID,VIZAG,PANAMAX,9.89,,,,,,,645.0,647.0,,82.86,,,,,1,1
2023-01-03,NEWCASTLE_AU,HALDIA,PANAMAX,19.12,,,,,,,645.0,647.0,,82.86,,,,,1,1
2023-01-03,NEWCASTLE_AU,PARADIP,CAPESIZE,11.95,,,,,,,645.0,647.0,,82.86,,,,,1,1
2023-01-03,NEWCASTLE_AU,PARADIP,PANAMAX,18.65,,,,,,,645.0,647.0,,82.86,,,,,1,1
2023-01-03,NEWCASTLE_AU,VIZAG,CAPESIZE,11.97,,,,,,,645.0,647.0,,82.86,,,,,1,1
2023-01-03,NEWCASTLE_AU,VIZAG,PANAMAX,18.68,,,,,,,645.0,647.0,,82.86,,,,,1,1
2023-01-04,KALIMANTAN_ID,HALDIA,PANAMAX,10.48,,8.819999694824219,,,,,631.5,645.0,,82.72,82.86,,,73.12925423098382,2,1
2023-01-04,KALIMANTAN_ID,PARADIP,CAPESIZE,6.38,,8.819999694824219,,,,,631.5,645.0,,82.72,82.86,,,73.12925423098382,2,1
2023-01-04,KALIMANTAN_ID,PARADIP,PANAMAX,10.01,,8.819999694824219,,,,,631.5,645.0,,82.72,82.86,,,73.12925423098382,2,1
2023-01-04,KALIMANTAN_ID,VIZAG,CAPESIZE,6.31,,8.819999694824219,,,,,631.5,645.0,,82.72,82.86,,,73.12925423098382,2,1
2023-01-04,KALIMANTAN_ID,VIZAG,PANAMAX,9.9,,8.819999694824219,,,,,631.5,645.0,,82.72,82.86,,,73.12925423098382,2,1
2023-01-04,NEWCASTLE_AU,HALDIA,PANAMAX,19.11,,8.819999694824219,,,,,631.5,645.0,,82.72,82.86,,,73.12925423098382,2,1
2023-01-04,NEWCASTLE_AU,PARADIP,CAPESIZE,11.95,,8.819999694824219,,,,,631.5,645.0,,82.72,82.86,,,73.12925423098382,2,1
2023-01-04,NEWCASTLE_AU,PARADIP,PANAMAX,18.65,,8.819999694824219,,,,,631.5,645.0,,82.72,82.86,,,73.12925423098382,2,1
2023-01-04,NEWCASTLE_AU,VIZAG,CAPESIZE,11.96,,8.819999694824219,,,,,631.5,645.0,,82.72,82.86,,,73.12925423098382,2,1
2023-01-04,NEWCASTLE_AU,VIZAG,PANAMAX,18.67,,8.819999694824219,,,,,631.5,645.0,,82.72,82.86,,,73.12925423098382,2,1
2023-01-05,KALIMANTAN_ID,HALDIA,PANAMAX,10.45,,9.25,,,,,624.5,631.5,,82.57,82.72,,,68.27027027027027,3,1
2023-01-05,KALIMANTAN_ID,PARADIP,CAPESIZE,6.36,,9.25,,,,,624.5,631.5,,82.57,82.72,,,68.27027027027027,3,1
2023-01-05,KALIMANTAN_ID,PARADIP,PANAMAX,9.99,,9.25,,,,,624.5,631.5,,82.57,82.72,,,68.27027027027027,3,1
2023-01-05,KALIMANTAN_ID,VIZAG,CAPESIZE,6.29,,9.25,,,,,624.5,631.5,,82.57,82.72,,,68.27027027027027,3,1
2023-01-05,KALIMANTAN_ID,VIZAG,PANAMAX,9.87,,9.25,,,,,624.5,631.5,,82.57,82.72,,,68.27027027027027,3,1
2023-01-05,NEWCASTLE_AU,HALDIA,PANAMAX,19.04,,9.25,,,,,624.5,631.5,,82.57,82.72,,,68.27027027027027,3,1
2023-01-05,NEWCASTLE_AU,PARADIP,CAPESIZE,11.91,,9.25,,,,,624.5,631.5,,82.57,82.72,,,68.27027027027027,3,1
2023-01-05,NEWCASTLE_AU,PARADIP,PANAMAX,18.58,,9.25,,,,,624.5,631.5,,82.57,82.72,,,68.27027027027027,3,1
2023-01-05,NEWCASTLE_AU,VIZAG,CAPESIZE,11.92,,9.25,,,,,624.5,631.5,,82.57,82.72,,,68.27027027027027,3,1
2023-01-05,NEWCASTLE_AU,VIZAG,PANAMAX,18.61,,9.25,,,,,624.5,631.5,,82.57,82.72,,,68.27027027027027,3,1
2023-01-06,KALIMANTAN_ID,HALDIA,PANAMAX,10.59,,9.510000228881836,,9.193333307902018,0.348473126288018,,619.5,624.5,,82.72,82.57,,,65.66771661092034,4,1
2023-01-06,KALIMANTAN_ID,PARADIP,CAPESIZE,6.45,,9.510000228881836,,9.193333307902018,0.348473126288018,,619.5,624.5,,82.72,82.57,,,65.66771661092034,4,1
2023-01-06,KALIMANTAN_ID,PARADIP,PANAMAX,10.12,,9.510000228881836,,9.193333307902018,0.348473126288018,,619.5,624.5,,82.72,82.57,,,65.66771661092034,4,1
2023-01-06,KALIMANTAN_ID,VIZAG,CAPESIZE,6.38,,9.510000228881836,,9.193333307902018,0.348473126288018,,619.5,624.5,,82.72,82.57,,,65.66771661092034,4,1
2023-01-06,KALIMANTAN_ID,VIZAG,PANAMAX,10.01,,9.510000228881836,,9.193333307902018,0.348473126288018,,619.5,624.5,,82.72,82.57,,,65.66771661092034,4,1
2023-01-06,NEWCASTLE_AU,HALDIA,PANAMAX,19.3,,9.510000228881836,,9.193333307902018,0.348473126288018,,619.5,624.5,,82.72,82.57,,,65.66771661092034,4,1
2023-01-06,NEWCASTLE_AU,PARADIP,CAPESIZE,12.07,,9.510000228881836,,9.193333307902018,0.348473126288018,,619.5,624.5,,82.72,82.57,,,65.66771661092034,4,1
2023-01-06,NEWCASTLE_AU,PARADIP,PANAMAX,18.83,,9.510000228881836,,9.193333307902018,0.348473126288018,,619.5,624.5,,82.72,82.57,,,65.66771661092034,4,1
2023-01-06,NEWCASTLE_AU,VIZAG,CAPESIZE,12.09,,9.510000228881836,,9.193333307902018,0.348473126288018,,619.5,624.5,,82.72,82.57,,,65.66771661092034,4,1
2023-01-06,NEWCASTLE_AU,VIZAG,PANAMAX,18.86,,9.510000228881836,,9.193333307902018,0.348473126288018,,619.5,624.5,,82.72,82.57,,,65.66771661092034,4,1
2023-01-09,KALIMANTAN_ID,HALDIA,PANAMAX,10.43,,10.039999961853027,,9.40499997138977,0.5100654718348546,,624.5,619.5,,82.36,82.72,,,61.70318748543723,0,1
2023-01-09,KALIMANTAN_ID,PARADIP,CAPESIZE,6.35,,10.039999961853027,,9.40499997138977,0.5100654718348546,,624.5,619.5,,82.36,82.72,,,61.70318748543723,0,1
2023-01-09,KALIMANTAN_ID,PARADIP,PANAMAX,9.97,,10.039999961853027,,9.40499997138977,0.5100654718348546,,624.5,619.5,,82.36,82.72,,,61.70318748543723,0,1
2023-01-09,KALIMANTAN_ID,VIZAG,CAPESIZE,6.28,,10.039999961853027,,9.40499997138977,0.5100654718348546,,624.5,619.5,,82.36,82.72,,,61.70318748543723,0,1
2023-01-09,KALIMANTAN_ID,VIZAG,PANAMAX,9.86,,10.039999961853027,,9.40499997138977,0.5100654718348546,,624.5,619.5,,82.36,82.72,,,61.70318748543723,0,1
2023-01-09,NEWCASTLE_AU,HALDIA,PANAMAX,19.01,,10.039999961853027,,9.40499997138977,0.5100654718348546,,624.5,619.5,,82.36,82.72,,,61.70318748543723,0,1
2023-01-09,NEWCASTLE_AU,PARADIP,CAPESIZE,11.89,,10.039999961853027,,9.40499997138977,0.5100654718348546,,624.5,619.5,,82.36,82.72,,,61.70318748543723,0,1
2023-01-09,NEWCASTLE_AU,PARADIP,PANAMAX,18.55,,10.039999961853027,,9.40499997138977,0.5100654718348546,,624.5,619.5,,82.36,82.72,,,61.70318748543723,0,1
2023-01-09,NEWCASTLE_AU,VIZAG,CAPESIZE,11.9,,10.039999961853027,,9.40499997138977,0.5100654718348546,,624.5,619.5,,82.36,82.72,,,61.70318748543723,0,1
2023-01-09,NEWCASTLE_AU,VIZAG,PANAMAX,18.58,,10.039999961853027,,9.40499997138977,0.5100654718348546,,624.5,619.5,,82.36,82.72,,,61.70318748543723,0,1
2023-01-10,KALIMANTAN_ID,HALDIA,PANAMAX,10.23,,9.739999771118164,,9.47199993133545,0.4664440613108901,,626.0,624.5,,81.6,82.36,,,64.11704462784671,1,1
2023-01-10,KALIMANTAN_ID,PARADIP,CAPESIZE,6.23,,9.739999771118164,,9.47199993133545,0.4664440613108901,,626.0,624.5,,81.6,82.36,,,64.11704462784671,1,1
2023-01-10,KALIMANTAN_ID,PARADIP,PANAMAX,9.78,,9.739999771118164,,9.47199993133545,0.4664440613108901,,626.0,624.5,,81.6,82.36,,,64.11704462784671,1,1
2023-01-10,KALIMANTAN_ID,VIZAG,CAPESIZE,6.15,,9.739999771118164,,9.47199993133545,0.4664440613108901,,626.0,624.5,,81.6,82.36,,,64.11704462784671,1,1
2023-01-10,KALIMANTAN_ID,VIZAG,PANAMAX,9.66,,9.739999771118164,,9.47199993133545,0.4664440613108901,,626.0,624.5,,81.6,82.36,,,64.11704462784671,1,1
2023-01-10,NEWCASTLE_AU,HALDIA,PANAMAX,18.63,,9.739999771118164,,9.47199993133545,0.4664440613108901,,626.0,624.5,,81.6,82.36,,,64.11704462784671,1,1
2023-01-10,NEWCASTLE_AU,PARADIP,CAPESIZE,11.65,,9.739999771118164,,9.47199993133545,0.4664440613108901,,626.0,624.5,,81.6,82.36,,,64.11704462784671,1,1
2023-01-10,NEWCASTLE_AU,PARADIP,PANAMAX,18.18,,9.739999771118164,,9.47199993133545,0.4664440613108901,,626.0,624.5,,81.6,82.36,,,64.11704462784671,1,1
2023-01-10,NEWCASTLE_AU,VIZAG,CAPESIZE,11.66,,9.739999771118164,,9.47199993133545,0.4664440613108901,,626.0,624.5,,81.6,82.36,,,64.11704462784671,1,1
2023-01-10,NEWCASTLE_AU,VIZAG,PANAMAX,18.21,,9.739999771118164,,9.47199993133545,0.4664440613108901,,626.0,624.5,,81.6,82.36,,,64.11704462784671,1,1
2023-01-11,KALIMANTAN_ID,HALDIA,PANAMAX,10.25,,9.119999885559082,,9.413333257039389,0.4412558463108662,,631.0,626.0,,81.6,81.6,,,68.64035173851589,2,1
2023-01-11,KALIMANTAN_ID,PARADIP,CAPESIZE,6.25,,9.119999885559082,,9.413333257039389,0.4412558463108662,,631.0,626.0,,81.6,81.6,,,68.64035173851589,2,1
2023-01-11,KALIMANTAN_ID,PARADIP,PANAMAX,9.8,,9.119999885559082,,9.413333257039389,0.4412558463108662,,631.0,626.0,,81.6,81.6,,,68.64035173851589,2,1
2023-01-11,KALIMANTAN_ID,VIZAG,CAPESIZE,6.17,,9.119999885559082,,9.413333257039389,0.4412558463108662,,631.0,626.0,,81.6,81.6,,,68.64035173851589,2,1
2023-01-11,KALIMANTAN_ID,VIZAG,PANAMAX,9.69,,9.119999885559082,,9.413333257039389,0.4412558463108662,,631.0,626.0,,81.6,81.6,,,68.64035173851589,2,1
2023-01-11,NEWCASTLE_AU,HALDIA,PANAMAX,18.69,,9.119999885559082,,9.413333257039389,0.4412558463108662,,631.0,626.0,,81.6,81.6,,,68.64035173851589,2,1
2023-01-11,NEWCASTLE_AU,PARADIP,CAPESIZE,11.69,,9.119999885559082,,9.413333257039389,0.4412558463108662,,631.0,626.0,,81.6,81.6,,,68.64035173851589,2,1
2023-01-11,NEWCASTLE_AU,PARADIP,PANAMAX,18.24,,9.119999885559082,,9.413333257039389,0.4412558463108662,,631.0,626.0,,81.6,81.6,,,68.64035173851589,2,1
2023-01-11,NEWCASTLE_AU,VIZAG,CAPESIZE,11.7,,9.119999885559082,,9.413333257039389,0.4412558463108662,,631.0,626.0,,81.6,81.6,,,68.64035173851589,2,1
2023-01-11,NEWCASTLE_AU,VIZAG,PANAMAX,18.26,,9.119999885559082,,9.413333257039389,0.4412558463108662,,631.0,626.0,,81.6,81.6,,,68.64035173851589,2,1
2023-01-12,KALIMANTAN_ID,HALDIA,PANAMAX,10.43,,8.979999542236328,8.819999694824219,9.351428440638951,0.43483450373822513,9.351428440638951,647.0,631.0,-2.472952086553323,81.19,81.6,,,70.26726416100232,3,1
