date,bunker_vlsfo,bunker_mgo,bunker_ifo380,bunker_ifo180,currency,unit,source,data_type
2023-01-02,647.0,1019.5,458.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-03,645.0,1018.5,461.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-04,631.5,992.0,448.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-05,624.5,988.0,439.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-06,619.5,979.0,434.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-09,624.5,988.0,435.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-10,626.0,982.5,436.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-11,631.0,991.0,436.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-12,647.0,1005.5,446.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-13,659.0,1022.5,447.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-16,663.0,1031.5,452.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-17,668.5,1031.5,456.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-18,676.5,1038.0,459.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-19,674.5,1033.0,462.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-20,687.5,1051.0,466.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-23,695.5,1059.5,472.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-24,698.0,1069.0,472.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-25,699.5,1063.0,471.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-26,700.0,1055.0,470.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-27,706.5,1060.5,473.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-30,697.5,1049.5,468.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-01-31,690.0,1034.0,461.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-01,703.5,1026.5,464.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-02,688.5,1017.0,462.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-03,679.0,997.0,448.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-06,665.5,977.0,426.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-07,667.5,957.5,434.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-08,674.0,967.5,449.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-09,682.0,966.5,453.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-10,678.5,955.0,454.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-13,681.0,960.5,458.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-14,680.5,963.5,458.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-15,675.5,957.0,455.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-16,672.0,945.0,458.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-17,660.0,934.5,458.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-20,654.0,931.0,456.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-21,650.5,932.5,460.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-22,641.5,925.5,455.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-23,633.0,913.0,450.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-24,638.0,912.5,456.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-27,641.0,925.5,451.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-02-28,639.0,921.5,452.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-01,645.0,932.0,463.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-02,649.5,937.0,469.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-03,648.0,935.0,468.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-06,649.5,941.5,475.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-07,654.0,934.0,482.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-08,643.0,913.0,476.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-09,636.5,905.0,477.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-10,632.5,895.5,467.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-13,633.5,903.5,474.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-14,623.0,897.5,470.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-15,613.0,887.0,463.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-16,598.0,870.5,452.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-17,603.0,880.5,465.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-20,593.0,875.0,456.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-21,593.0,869.5,460.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-22,599.0,875.0,463.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-23,603.0,876.0,465.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-24,600.0,868.5,463.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-27,598.5,869.5,464.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-28,610.5,877.5,477.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-29,611.0,876.5,478.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-30,608.0,865.0,476.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-03-31,612.5,865.0,485.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-03,636.5,890.5,509.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-04,636.5,897.0,513.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-05,635.5,891.0,516.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-06,637.0,892.0,516.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-07,636.0,887.0,518.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-10,636.5,887.0,518.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-11,638.5,882.5,521.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-12,642.0,881.5,527.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-13,643.0,886.5,528.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-14,642.0,881.5,527.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-17,640.5,878.5,527.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-18,635.5,866.5,519.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-19,634.5,863.5,519.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-20,618.0,847.0,510.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-21,613.0,837.0,508.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-24,611.5,835.0,508.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-25,617.0,834.5,510.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-26,609.0,826.5,506.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-27,598.0,810.5,496.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-04-28,600.0,803.5,494.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-01,593.5,803.5,496.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-02,601.0,795.0,496.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-03,586.0,780.0,484.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-04,572.0,765.5,477.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-05,574.0,767.5,476.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-08,583.0,780.5,480.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-09,586.5,779.0,488.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-10,587.0,786.5,486.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-11,584.0,786.5,487.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-12,582.0,779.0,481.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-15,573.0,777.0,479.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-16,580.5,778.0,482.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-17,583.0,777.0,482.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-18,595.0,781.5,492.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-19,589.0,781.0,489.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-22,589.5,774.5,486.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-23,585.0,772.5,487.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-24,596.0,779.0,492.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-25,589.0,780.0,489.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-26,585.0,775.5,485.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-29,588.5,776.5,489.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-30,584.5,764.5,483.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-05-31,577.0,756.5,467.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-01,574.0,745.5,470.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-02,583.5,764.0,484.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-05,594.5,781.5,494.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-06,591.5,780.0,486.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-07,595.0,778.5,486.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-08,598.5,786.5,489.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-09,593.0,776.0,486.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-12,586.5,770.0,479.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-13,585.0,764.0,480.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-14,594.5,770.0,492.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-15,592.5,769.5,490.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-16,601.5,788.0,500.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-19,611.0,798.0,505.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-20,610.0,790.0,506.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-21,608.0,785.0,498.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-22,613.5,788.5,498.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-23,598.5,776.0,490.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-26,598.5,772.0,488.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-27,594.0,777.0,480.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-28,588.5,769.5,481.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-29,594.0,771.0,486.5,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-06-30,596.0,773.0,491.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-07-03,598.5,776.0,500.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-07-04,592.0,775.5,496.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-07-05,593.0,778.5,500.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
2023-07-06,592.0,788.5,501.0,,USD,USD/MT,USDA_AgTransport_ShipAndBunker,REAL
