date,route_id,vessel_type,contract_type,estimated_rate_usd_mt,price_premium_pct,volume_commitment_mt,data_type
2026-07-22,KALIMANTAN_ID_DHAMRA,HANDYSIZE,SPOT,15.15,0.0,32000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,HANDYSIZE,COA_3M,15.45,2.0,96000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,HANDYSIZE,COA_6M,15.91,5.0,192000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,HANDYSIZE,COA_12M,16.36,8.0,384000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,PANAMAX,SPOT,10.58,0.0,70000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,PANAMAX,COA_3M,10.79,2.0,210000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,PANAMAX,COA_6M,11.11,5.0,420000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,PANAMAX,COA_12M,11.43,8.0,840000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,PANAMAX,SPOT,11.06,0.0,70000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,PANAMAX,COA_3M,11.28,2.0,210000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,PANAMAX,COA_6M,11.61,5.0,420000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,PANAMAX,COA_12M,11.94,8.0,840000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,SUPRAMAX,SPOT,12.5,0.0,50000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,SUPRAMAX,COA_3M,12.75,2.0,150000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,SUPRAMAX,COA_6M,13.12,5.0,300000,SCENARIO
2026-07-22,KALIMANTAN_ID_DHAMRA,SUPRAMAX,COA_12M,13.5,8.0,600000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,HANDYSIZE,SPOT,14.64,0.0,32000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,HANDYSIZE,COA_3M,14.93,2.0,96000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,HANDYSIZE,COA_6M,15.37,5.0,192000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,HANDYSIZE,COA_12M,15.81,8.0,384000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,PANAMAX,SPOT,10.23,0.0,70000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,PANAMAX,COA_3M,10.43,2.0,210000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,PANAMAX,COA_6M,10.74,5.0,420000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,PANAMAX,COA_12M,11.05,8.0,840000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,PANAMAX,SPOT,10.7,0.0,70000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,PANAMAX,COA_3M,10.91,2.0,210000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,PANAMAX,COA_6M,11.23,5.0,420000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,PANAMAX,COA_12M,11.56,8.0,840000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,SUPRAMAX,SPOT,12.09,0.0,50000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,SUPRAMAX,COA_3M,12.33,2.0,150000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,SUPRAMAX,COA_6M,12.69,5.0,300000,SCENARIO
2026-07-22,KALIMANTAN_ID_GANGAVARAM,SUPRAMAX,COA_12M,13.06,8.0,600000,SCENARIO
2026-07-22,KALIMANTAN_ID_GOPALPUR,HANDYSIZE,SPOT,15.21,0.0,32000,SCENARIO
2026-07-22,KALIMANTAN_ID_GOPALPUR,HANDYSIZE,COA_3M,15.51,2.0,96000,SCENARIO
2026-07-22,KALIMANTAN_ID_GOPALPUR,HANDYSIZE,COA_6M,15.97,5.0,192000,SCENARIO
2026-07-22,KALIMANTAN_ID_GOPALPUR,HANDYSIZE,COA_12M,16.43,8.0,384000,SCENARIO
2026-07-22,KALIMANTAN_ID_GOPALPUR,PANAMAX,SPOT,11.1,0.0,70000,SCENARIO
2026-07-22,KALIMANTAN_ID_GOPALPUR,PANAMAX,COA_3M,11.32,2.0,210000,SCENARIO
2026-07-22,KALIMANTAN_ID_GOPALPUR,PANAMAX,COA_6M,11.65,5.0,420000,SCENARIO
2026-07-22,KALIMANTAN_ID_GOPALPUR,PANAMAX,COA_12M,11.99,8.0,840000,SCENARIO
2026-07-22,KALIMANTAN_ID_GOPALPUR,SUPRAMAX,SPOT,12.56,0.0,50000,SCENARIO
2026-07-22,KALIMANTAN_ID_GOPALPUR,SUPRAMAX,COA_3M,12.81,2.0,150000,SCENARIO
2026-07-22,KALIMANTAN_ID_GOPALPUR,SUPRAMAX,COA_6M,13.19,5.0,300000,SCENARIO
2026-07-22,KALIMANTAN_ID_GOPALPUR,SUPRAMAX,COA_12M,13.56,8.0,600000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,HANDYSIZE,SPOT,15.29,0.0,32000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,HANDYSIZE,COA_3M,15.6,2.0,96000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,HANDYSIZE,COA_6M,16.05,5.0,192000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,HANDYSIZE,COA_12M,16.51,8.0,384000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,PANAMAX,SPOT,10.67,0.0,70000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,PANAMAX,COA_3M,10.88,2.0,210000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,PANAMAX,COA_6M,11.2,5.0,420000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,PANAMAX,COA_12M,11.52,8.0,840000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,PANAMAX,SPOT,11.15,0.0,70000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,PANAMAX,COA_3M,11.37,2.0,210000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,PANAMAX,COA_6M,11.71,5.0,420000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,PANAMAX,COA_12M,12.04,8.0,840000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,SUPRAMAX,SPOT,12.62,0.0,50000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,SUPRAMAX,COA_3M,12.87,2.0,150000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,SUPRAMAX,COA_6M,13.25,5.0,300000,SCENARIO
2026-07-22,KALIMANTAN_ID_PARADIP,SUPRAMAX,COA_12M,13.63,8.0,600000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,HANDYSIZE,SPOT,16.02,0.0,32000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,HANDYSIZE,COA_3M,16.34,2.0,96000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,HANDYSIZE,COA_6M,16.82,5.0,192000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,HANDYSIZE,COA_12M,17.3,8.0,384000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,PANAMAX,SPOT,11.16,0.0,70000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,PANAMAX,COA_3M,11.38,2.0,210000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,PANAMAX,COA_6M,11.72,5.0,420000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,PANAMAX,COA_12M,12.05,8.0,840000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,PANAMAX,SPOT,11.66,0.0,70000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,PANAMAX,COA_3M,11.89,2.0,210000,SCENARIO
