date,port,waiting_vessels_count,avg_waiting_time_hrs,congestion_status,data_type
2023-01-02,PARADIP,2,17.5,NORMAL,SYNTHETIC
2023-01-03,PARADIP,1,17.3,NORMAL,SYNTHETIC
2023-01-04,PARADIP,3,20.2,NORMAL,SYNTHETIC
2023-01-05,PARADIP,3,19.8,NORMAL,SYNTHETIC
2023-01-06,PARADIP,4,19.2,NORMAL,SYNTHETIC
2023-01-09,PARADIP,4,21.2,NORMAL,SYNTHETIC
2023-01-10,PARADIP,3,24.6,ELEVATED,SYNTHETIC
2023-01-11,PARADIP,2,23.6,ELEVATED,SYNTHETIC
2023-01-12,PARADIP,3,22.7,ELEVATED,SYNTHETIC
2023-01-13,PARADIP,3,21.3,NORMAL,SYNTHETIC
2023-01-16,PARADIP,3,20.8,NORMAL,SYNTHETIC
2023-01-17,PARADIP,3,19.1,NORMAL,SYNTHETIC
2023-01-18,PARADIP,2,17.8,NORMAL,SYNTHETIC
2023-01-19,PARADIP,4,21.7,ELEVATED,SYNTHETIC
2023-01-20,PARADIP,2,19.3,NORMAL,SYNTHETIC
2023-01-23,PARADIP,3,19.0,NORMAL,SYNTHETIC
2023-01-24,PARADIP,2,20.9,NORMAL,SYNTHETIC
2023-01-25,PARADIP,3,19.8,NORMAL,SYNTHETIC
2023-01-26,PARADIP,3,18.7,NORMAL,SYNTHETIC
2023-01-27,PARADIP,3,20.9,NORMAL,SYNTHETIC
2023-01-30,PARADIP,2,23.5,ELEVATED,SYNTHETIC
2023-01-31,PARADIP,3,24.4,ELEVATED,SYNTHETIC
2023-02-01,PARADIP,5,30.4,HIGH,SYNTHETIC
2023-02-02,PARADIP,3,26.8,ELEVATED,SYNTHETIC
2023-02-03,PARADIP,3,27.2,HIGH,SYNTHETIC
2023-02-06,PARADIP,4,28.7,HIGH,SYNTHETIC
2023-02-07,PARADIP,6,31.5,HIGH,SYNTHETIC
2023-02-08,PARADIP,5,25.4,ELEVATED,SYNTHETIC
2023-02-09,PARADIP,3,25.2,ELEVATED,SYNTHETIC
2023-02-10,PARADIP,4,25.3,ELEVATED,SYNTHETIC
2023-02-13,PARADIP,3,28.4,HIGH,SYNTHETIC
