scenario_name,date,variable,baseline_value,scenario_value,change_pct,scenario_type,data_type
Bunker +20%,2026-07-22,bunker_vlsfo,809.5,971.4,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-07-22,usd_inr,96.57,101.4,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-07-22,charter_rate_proxy,12.51,16.26,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-07-23,bunker_vlsfo,831.5,997.8,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-07-23,usd_inr,96.57,101.4,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-07-23,charter_rate_proxy,12.68,16.48,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-07-24,bunker_vlsfo,835.5,1002.6,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-07-24,usd_inr,96.56,101.39,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-07-24,charter_rate_proxy,12.57,16.34,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-07-27,bunker_vlsfo,825.0,990.0,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-07-27,usd_inr,95.91,100.71,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-07-27,charter_rate_proxy,12.38,16.09,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-07-28,bunker_vlsfo,805.0,966.0,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-07-28,usd_inr,95.85,100.64,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-07-28,charter_rate_proxy,12.61,16.39,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-07-29,bunker_vlsfo,807.5,969.0,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-07-29,usd_inr,95.65,100.43,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-07-29,charter_rate_proxy,12.78,16.61,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-07-30,bunker_vlsfo,815.0,978.0,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-07-30,usd_inr,95.68,100.46,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-07-30,charter_rate_proxy,13.36,17.37,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-07-31,bunker_vlsfo,814.5,977.4,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-07-31,usd_inr,95.38,100.15,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-07-31,charter_rate_proxy,13.42,17.45,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-03,bunker_vlsfo,810.0,972.0,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-03,usd_inr,95.34,100.11,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-03,charter_rate_proxy,13.95,18.13,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-04,bunker_vlsfo,806.5,967.8,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-04,usd_inr,95.38,100.15,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-04,charter_rate_proxy,13.91,18.08,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-05,bunker_vlsfo,791.5,949.8,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-05,usd_inr,95.14,99.9,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-05,charter_rate_proxy,13.97,18.16,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-06,bunker_vlsfo,789.0,946.8,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-06,usd_inr,95.21,99.97,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-06,charter_rate_proxy,13.94,18.12,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-07,bunker_vlsfo,794.5,953.4,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-07,usd_inr,95.21,99.97,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-07,charter_rate_proxy,13.76,17.89,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-11,bunker_vlsfo,823.5,988.2,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-11,usd_inr,95.44,100.21,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-11,charter_rate_proxy,13.79,17.93,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-12,bunker_vlsfo,820.5,984.6,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-12,usd_inr,95.33,100.1,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-12,charter_rate_proxy,13.67,17.77,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-13,bunker_vlsfo,814.5,977.4,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-13,usd_inr,95.44,100.21,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-13,charter_rate_proxy,13.89,18.06,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-14,bunker_vlsfo,813.0,975.6,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-14,usd_inr,95.43,100.2,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-14,charter_rate_proxy,14.29,18.57,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-17,bunker_vlsfo,817.0,980.4,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-17,usd_inr,95.6,100.38,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-17,charter_rate_proxy,14.0,18.2,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-18,bunker_vlsfo,821.0,985.2,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-18,usd_inr,95.68,100.46,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-18,charter_rate_proxy,13.82,17.97,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-19,bunker_vlsfo,823.0,987.6,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-19,usd_inr,95.75,100.54,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-19,charter_rate_proxy,14.01,18.21,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-20,bunker_vlsfo,825.0,990.0,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-20,usd_inr,95.71,100.5,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-20,charter_rate_proxy,14.19,18.45,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-21,bunker_vlsfo,823.5,988.2,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-21,usd_inr,95.7,100.49,5.0,FOREX_RISK,SYNTHETIC
